Log Name,File Name,solfndby,Nodes,Active,LPit/n,IntInf,BestBound,BestSolution,Gap,Time
test13183895.run027.air03.log,air03,,1,0,4.0,0,3.401600e+05,3.401600e+05,0.00%,0.39
test13183895.run028.air04.log,air04,,130,0,341.8,190,5.613700e+04,5.613700e+04,0.00%,10.19
test13183895.run029.air05.log,air05,,261,0,122.7,153,2.637400e+04,2.637400e+04,0.00%,5.68
test13183895.run030.aligninq.log,aligninq,,58,0,118.3,81,2.713000e+03,2.713000e+03,0.00%,2.12
test13183895.run031.allcolor10.log,allcolor10,,2656825,113462,119.1,278,6.000000e+00,2.270000e+02,97.4%,7200
test13183895.run032.amaze22012-03-15i.log,amaze22012-03-15i,,39006,0,74.6,215,0.000000e+00,0.000000e+00,0.00%,52.04
test13183895.run034.amaze22012-07-04i.log,amaze22012-07-04i,,482715,1162,25.0,37,0.000000e+00,--,Inf,7200
test13183895.run035.app1-1.log,app1-1,,16,0,117.4,2,-3.000000e+00,-3.000000e+00,0.00%,3.50
test13183895.run036.app1-2.log,app1-2,,74,0,281.7,23,-4.100000e+01,-4.100000e+01,0.00%,70.75
test13183895.run037.app2-1.log,app2-1,,2070,0,0.7,1,1.929425e+04,1.929425e+04,0.00%,0.42
test13183895.run038.app2-2.log,app2-2,,543,0,1.1,1,2.120404e+05,2.120404e+05,0.00%,0.19
test13183895.run039.app3.log,app3,,37,0,181.4,4,5.751714e+06,5.751714e+06,0.00%,2.13
test13183895.run040.arki001.log,arki001,,96311,0,11.7,15,7.580813e+06,7.580813e+06,0.00%,64.04
test13183895.run041.assign1-5-8.log,assign1-5-8,,38688772,0,9.5,42,2.120000e+02,2.120000e+02,0.00%,2538
test13183895.run042.atlanta-ip.log,atlanta-ip,,7343,0,353.4,65,9.000988e+01,9.000988e+01,0.00%,268
test13183895.run043.atm20-100.log,atm20-100,,420067,25065,284.3,374,2.264184e+06,--,Inf,7200
test13183895.run044.australia-abs-cta.log,australia-abs-cta,,22,0,90.8,1,1.069047e+02,1.069047e+02,0.00%,4.18
test13183895.run045.b1c1s1.log,b1c1s1,,273677,0,171.2,269,2.454425e+04,2.454425e+04,0.00%,1696
test13183895.run046.b2c1s1.log,b2c1s1,,1900241,0,107.9,242,2.568791e+04,2.568791e+04,0.00%,5974
test13183895.run047.bab1.log,bab1,,9396074,2115136,13.7,44,-2.206567e+05,-2.187649e+05,0.86%,7200
test13183895.run048.bab2.log,bab2,,114724,38856,185.4,109,-3.578777e+05,-3.575018e+05,0.11%,7200
test13183895.run049.bab5.log,bab5,,5094,0,48.7,26,-1.064118e+05,-1.064118e+05,0.00%,44.47
test13183895.run050.bab6.log,bab6,,1168644,30945,57.6,82,-2.843363e+05,-2.842482e+05,0.03%,7200
test13183895.run051.b-ball.log,b-ball,,1,0,0.0,15,-1.500000e+00,-1.500000e+00,0.00%,0.06
test13183895.run052.bc1.log,bc1,,1594,0,21.0,4,3.338362e+00,3.338362e+00,0.00%,10.10
test13183895.run053.bc.log,bc,,8919,0,92.0,26,7.000000e+00,7.000000e+00,0.00%,63.07
test13183895.run054.beasleyC1.log,beasleyC1,,1,0,895.0,44,8.500000e+01,8.500000e+01,0.00%,0.17
test13183895.run055.beasleyC2.log,beasleyC2,,1,0,2539,77,1.440000e+02,1.440000e+02,0.00%,0.45
test13183895.run056.beasleyC3.log,beasleyC3,,1,0,8220,30,7.540000e+02,7.540000e+02,0.00%,1.06
test13183895.run057.beavma.log,beavma,,1,0,228.0,0,3.832850e+05,3.832850e+05,0.00%,0.24
test13183895.run058.berlin_5_8_0.log,berlin_5_8_0,,3884058,0,24.7,52,6.200000e+01,6.200000e+01,0.00%,1264
test13183895.run059.berlin.log,berlin,,1,0,7016,17,1.044000e+03,1.044000e+03,0.00%,1.84
test13183895.run060.bg512142.log,bg512142,,7594493,1933127,62.7,90,1.675416e+05,1.855605e+05,9.71%,7200
test13183895.run061.biella1.log,biella1,,1722,0,923.5,520,3.065006e+06,3.065006e+06,0.00%,87.25
test13183895.run062.bienst1.log,bienst1,,4412,0,152.6,8,4.675000e+01,4.675000e+01,0.00%,9.40
test13183895.run063.bienst2.log,bienst2,,16453,0,159.9,11,5.460000e+01,5.460000e+01,0.00%,36.90
test13183895.run064.binkar10_1.log,binkar10_1,,2753,0,30.9,53,6.742200e+03,6.742200e+03,0.00%,1.87
test13183895.run065.blend2.log,blend2,,1145,0,9.4,10,7.598985e+00,7.598985e+00,0.00%,0.42
test13183895.run066.bley_xl1.log,bley_xl1,,1,0,5672,67,1.900000e+02,1.900000e+02,0.00%,2.78
test13183895.run067.bley_xs2.log,bley_xs2,,12199,0,483.0,575,1.051266e+06,1.051266e+06,0.00%,143
test13183895.run068.blp-ar98.log,blp-ar98,,21649,0,118.3,139,6.205215e+03,6.205215e+03,0.00%,164
test13183895.run069.blp-ic97.log,blp-ic97,,39803,0,110.0,113,4.025024e+03,4.025024e+03,0.00%,240
test13183895.run070.blp-ic98.log,blp-ic98,,8494,0,104.2,71,4.491448e+03,4.491448e+03,0.00%,89.34
test13183895.run071.blp-ir98.log,blp-ir98,,901,0,41.9,21,2.342315e+03,2.342315e+03,0.00%,6.14
test13183895.run074.bmoipr2.log,bmoipr2,,1284786,0,15.5,5,-4.641617e+07,-4.641617e+07,0.00%,3866
test13183895.run075.bnatt400.log,bnatt400,,1,1,16819,553,1.000000e+00,1.000000e+00,0.00%,2.10
test13183895.run076.bnatt500.log,bnatt500,,7,8,5393,766,1.000000e+30,--,0.00%,5.97
test13183895.run077.bppc4-08.log,bppc4-08,,12539500,30983,73.6,34,5.200000e+01,5.300000e+01,1.89%,7200
test13183895.run078.bppc6-02.log,bppc6-02,,4683259,2186,50.0,20,1.130000e+02,1.160000e+02,2.59%,7200
test13183895.run079.bppc8-02.log,bppc8-02,,30,0,33.5,18,5.070000e+02,5.070000e+02,0.00%,0.16
test13183895.run080.bppc8-09.log,bppc8-09,,3163799,0,6.4,20,4.720000e+02,4.720000e+02,0.00%,228
test13183895.run081.brasil.log,brasil,,2,0,5683,69,1.365500e+04,1.365500e+04,0.00%,2.65
test13183895.run082.brazil3.log,brazil3,,926,0,1008,777,2.400000e+01,2.400000e+01,0.00%,104
test13183895.run083.breastcancer-regularized.log,breastcancer-regularized,,2738825,0,33.2,255,3.576784e+01,3.576784e+01,0.00%,586
test13183895.run084.buildingenergy.log,buildingenergy,,70621,0,16.3,4,3.328385e+04,3.328385e+04,0.00%,417
test13183895.run085.cap6000.log,cap6000,,1542,0,1.6,3,-2.451377e+06,-2.451377e+06,0.00%,0.46
test13183895.run086.cbs-cta.log,cbs-cta,,1,0,0.0,6,0.000000e+00,0.000000e+00,0.00%,0.40
test13183895.run092.ci-s4.log,ci-s4,,145549,0,9.0,19,3.336240e+03,3.336240e+03,0.00%,73.26
test13183895.run093.cmflsp40-24-10-7.log,cmflsp40-24-10-7,,923483,230823,157.7,35,5.117081e+07,5.251515e+07,2.56%,7200
test13183895.run094.cmflsp50-24-10-4.log,cmflsp50-24-10-4,,523438,0,129.9,365,5.898887e+07,5.898887e+07,0.00%,5185
test13183895.run095.cmflsp50-24-8-8.log,cmflsp50-24-8-8,,119815,0,132.2,552,5.578939e+07,5.578939e+07,0.00%,1133
test13183895.run096.CMS750_4.log,CMS750_4,,5633,0,32.3,104,2.520000e+02,2.520000e+02,0.00%,25.13
test13183895.run097.co-100.log,co-100,,1574,0,377.1,747,2.639942e+06,2.639942e+06,0.00%,188
test13183895.run098.cod105.log,cod105,,99,0,962.0,212,-1.200000e+01,-1.200000e+01,0.00%,30.21
test13183895.run099.comp07-2idx.log,comp07-2idx,,1,1,2012,766,6.000000e+00,6.000000e+00,0.00%,11.65
test13183895.run100.comp08-2idx.log,comp08-2idx,,282,0,361.0,68,3.700000e+01,3.700000e+01,0.00%,11.64
test13183895.run101.comp16-3idx.log,comp16-3idx,,1,1,3329501,4453,1.032747e+01,4.592000e+03,99.8%,7200
test13183895.run102.comp21-2idx.log,comp21-2idx,,49321,0,1210,626,7.400000e+01,7.400000e+01,0.00%,2775
test13183895.run103.control20-5-10-5.log,control20-5-10-5,,1,0,0.0,0,1.000000e+30,--,0.00%,0.38
test13183895.run104.control30-3-2-3.log,control30-3-2-3,,132356313,31457230,2.8,15,7.286173e-02,5.115030e-01,85.8%,7200
test13183895.run105.control30-5-10-4.log,control30-5-10-4,,1,0,0.0,0,1.000000e+30,--,0.00%,0.90
test13183895.run106.core2536-691.log,core2536-691,,1182,0,863.8,449,6.890000e+02,6.890000e+02,0.00%,43.91
test13183895.run107.cost266-UUE.log,cost266-UUE,,171414,0,88.7,86,2.514894e+07,2.514894e+07,0.00%,416
test13183895.run108.cryptanalysiskb128n5obj14.log,cryptanalysiskb128n5obj14,,605,0,14243,6293,1.000000e+30,--,0.00%,2161
test13183895.run109.cryptanalysiskb128n5obj16.log,cryptanalysiskb128n5obj16,,121,0,24983,6567,0.000000e+00,0.000000e+00,0.00%,909
test13183895.run110.csched007.log,csched007,,36207,0,232.9,158,3.510000e+02,3.510000e+02,0.00%,176
test13183895.run111.csched008.log,csched008,,516162,0,114.8,68,1.730000e+02,1.730000e+02,0.00%,590
test13183895.run112.csched010.log,csched010,,47508,0,231.7,143,4.080000e+02,4.080000e+02,0.00%,177
test13183895.run113.cvrpsimple2i.log,cvrpsimple2i,,58536,0,68.2,52,3.400000e+01,3.400000e+01,0.00%,41.82
test13183895.run114.cvs08r139-94.log,cvs08r139-94,,65927,0,140.8,832,-1.160000e+02,-1.160000e+02,0.00%,223
test13183895.run115.cvs16r106-72.log,cvs16r106-72,,800316,51955,184.3,388,-8.545558e+01,-8.100000e+01,5.21%,7200
test13183895.run116.cvs16r128-89.log,cvs16r128-89,,279804,18513,308.0,1393,-1.028079e+02,-9.700000e+01,5.65%,7200
test13183895.run117.cvs16r70-62.log,cvs16r70-62,,506341,0,133.5,491,-4.200000e+01,-4.200000e+01,0.00%,2181
test13183895.run118.cvs16r89-60.log,cvs16r89-60,,75176,0,227.9,652,-6.500000e+01,-6.500000e+01,0.00%,858
test13183895.run119.dale-cta.log,dale-cta,,37437,0,4.2,3,4.963799e-01,4.963799e-01,0.00%,68.05
test13183895.run120.dano3_3.log,dano3_3,,62,0,1031,0,5.763446e+02,5.763446e+02,0.00%,10.99
test13183895.run121.dano3_5.log,dano3_5,,414,0,1236,2,5.769249e+02,5.769249e+02,0.00%,40.67
test13183895.run122.danoint.log,danoint,,669872,0,85.2,33,6.566667e+01,6.566667e+01,0.00%,377
test13183895.run123.dc1c.log,dc1c,,800830,80553,323.7,320,1.763959e+06,1.768603e+06,0.26%,7200
test13183895.run124.dcmulti.log,dcmulti,,13,0,143.6,0,1.881820e+05,1.881820e+05,0.00%,0.42
test13183895.run125.decomp1.log,decomp1,,1,0,0.0,270,-1.200000e+02,-1.200000e+02,0.00%,0.51
test13183895.run126.decomp2.log,decomp2,,1,0,0.0,319,-1.600000e+02,-1.600000e+02,0.00%,0.61
test13183895.run128.dg012142.log,dg012142,,3597783,418280,72.5,333,1.599214e+06,2.457854e+06,34.9%,7200
test13183895.run129.diameterc-mstc-v20a190d5i.log,diameterc-mstc-v20a190d5i,,2954,0,530.4,763,4.140000e+02,4.140000e+02,0.00%,67.60
test13183895.run130.diameterc-msts-v40a100d5i.log,diameterc-msts-v40a100d5i,,1796,0,404.7,1013,7.290000e+02,7.290000e+02,0.00%,65.89
test13183895.run131.disctom.log,disctom,,1,0,0.0,260,-5.000000e+03,-5.000000e+03,0.00%,0.56
test13183895.run132.dolom1.log,dolom1,,319122,5380,483.1,285,6.574104e+06,6.641372e+06,1.01%,7200
test13183895.run133.drayage-100-12.log,drayage-100-12,,2,0,2346,6,9.494159e+04,9.494159e+04,0.00%,1.17
test13183895.run134.drayage-100-23.log,drayage-100-23,,1,0,0.0,9,1.033339e+05,1.033339e+05,0.00%,0.33
test13183895.run135.drayage-25-23.log,drayage-25-23,,2,0,1828,10,1.012826e+05,1.012826e+05,0.00%,0.91
test13183895.run136.drayage-25-27.log,drayage-25-27,,233,0,53.3,46,1.021835e+05,1.021835e+05,0.00%,1.20
test13183895.run137.drayage-25-32.log,drayage-25-32,,1,0,14391,0,9.139585e+04,9.139585e+04,0.00%,1.49
test13183895.run138.dsbmip.log,dsbmip,,1,0,248.0,13,-3.051982e+02,-3.051982e+02,0.00%,0.20
test13183895.run139.ds.log,ds,,51706,6132,712.2,567,6.628575e+01,2.337975e+02,71.6%,7200
test13183895.run140.dws008-01.log,dws008-01,,1149339,0,58.7,59,3.741260e+04,3.741260e+04,0.00%,2583
test13183895.run141.dws008-03.log,dws008-03,,1760216,571815,108.3,103,4.470674e+04,--,Inf,7200
test13183895.run142.eil33-2.log,eil33-2,,3661,0,17.6,24,9.340079e+02,9.340079e+02,0.00%,21.98
test13183895.run143.eilA101-2.log,eilA101-2,,123872,0,41.2,97,8.809201e+02,8.809201e+02,0.00%,2351
test13183895.run144.eilC76-2.log,eilC76-2,,17799,0,36.6,79,7.625148e+02,7.625148e+02,0.00%,135
test13183895.run145.ej.log,ej,,114839964,35979583,0.7,1,9.338763e+03,--,Inf,7200
test13183895.run146.elitserienhandball11i.log,elitserienhandball11i,,18194,212,3593,1327,0.000000e+00,3.000000e+00,100.0%,7200
test13183895.run147.elitserienhandball13i.log,elitserienhandball13i,,8790,719,7259,1303,2.000000e+00,6.000000e+00,66.7%,7200
test13183895.run148.elitserienhandball14i.log,elitserienhandball14i,,21594,464,3484,1124,0.000000e+00,3.000000e+00,100.0%,7200
test13183895.run149.elitserienhandball3i.log,elitserienhandball3i,,16302,1040,4240,727,0.000000e+00,6.000000e+00,100.0%,7200
test13183895.run150.enlight11.log,enlight11,,1,0,0.0,0,1.000000e+30,--,0.00%,0.01
test13183895.run151.enlight4.log,enlight4,,1,0,0.0,0,1.000000e+30,--,0.00%,0.00
test13183895.run152.enlight8.log,enlight8,,1,0,0.0,0,2.700000e+01,2.700000e+01,0.00%,0.01
test13183895.run153.enlight9.log,enlight9,,1,0,0.0,0,1.000000e+30,--,0.00%,0.01
test13183895.run154.enlight_hard.log,enlight_hard,,1,0,0.0,0,3.700000e+01,3.700000e+01,0.00%,0.01
test13183895.run155.ex10.log,ex10,,1,0,0.0,0,1.000000e+02,1.000000e+02,0.00%,5.49
test13183895.run157.exp-1-500-5-5.log,exp-1-500-5-5,,1,0,4874,2,6.588700e+04,6.588700e+04,0.00%,0.67
test13183895.run158.f2gap201600.log,f2gap201600,,1,0,571.0,0,7.645300e+04,7.645300e+04,0.00%,0.57
test13183895.run159.f2gap401600.log,f2gap401600,,1,0,1269,16,8.230700e+04,8.230700e+04,0.00%,0.70
test13183895.run160.f2gap40400.log,f2gap40400,,1,0,686.0,22,2.077200e+04,2.077200e+04,0.00%,0.07
test13183895.run161.f2gap801600.log,f2gap801600,,1,0,2696,50,8.667900e+04,8.667900e+04,0.00%,0.85
test13183895.run162.fast0507.log,fast0507,,2264,0,258.9,212,1.740000e+02,1.740000e+02,0.00%,69.99
test13183895.run163.fastxgemm-n2r6s0t2.log,fastxgemm-n2r6s0t2,,51203,0,31.8,14,2.300000e+02,2.300000e+02,0.00%,12.86
test13183895.run164.fastxgemm-n2r7s4t1.log,fastxgemm-n2r7s4t1,,68019,0,43.7,25,4.200000e+01,4.200000e+01,0.00%,19.19
test13183895.run165.fhnw-binpack4-18.log,fhnw-binpack4-18,,6496,0,28.1,55,1.000000e+30,--,0.00%,1.21
test13183895.run166.fhnw-binpack4-48.log,fhnw-binpack4-48,,1,0,0.0,0,0.000000e+00,0.000000e+00,0.00%,0.25
test13183895.run167.fhnw-binpack4-4.log,fhnw-binpack4-4,,4260,0,32.5,31,1.000000e+30,--,0.00%,1.19
test13183895.run168.fhnw-sq2.log,fhnw-sq2,,69599955,1276502,11.1,49,1.000000e+30,--,0.00%,5660
test13183895.run169.fhnw-sq3.log,fhnw-sq3,,36285911,74899,14.2,51,0.000000e+00,--,Inf,7200
test13183895.run170.fiball.log,fiball,,1246,0,30.7,22,1.380000e+02,1.380000e+02,0.00%,58.72
test13183895.run171.fiber.log,fiber,,5,0,265.6,0,4.059352e+05,4.059352e+05,0.00%,0.38
test13183895.run172.fillomino7x7-0i.log,fillomino7x7-0i,,307604,0,179.8,180,0.000000e+00,0.000000e+00,0.00%,1747
test13183895.run173.fjspeasy01i.log,fjspeasy01i,,96,0,154.7,181,2.530000e+02,2.530000e+02,0.00%,3.51
test13183895.run176.g200x740.log,g200x740,,6178,0,15.7,10,4.431600e+04,4.431600e+04,0.00%,7.29
test13183895.run178.gasprod1-2.log,gasprod1-2,,183,0,89.5,10,9.830409e+02,9.830409e+02,0.00%,5.36
test13183895.run179.gasprod1-3.log,gasprod1-3,,564,0,106.8,12,2.310110e+03,2.310110e+03,0.00%,6.90
test13183895.run180.gasprod2-1.log,gasprod2-1,,5273,0,150.1,6,1.628548e+06,1.628548e+06,0.00%,112
test13183895.run181.gasprod2-2.log,gasprod2-2,,986,0,23.5,1,1.375632e+06,1.375632e+06,0.00%,32.29
test13183895.run182.gen-ip002.log,gen-ip002,,3730490,0,3.6,13,-4.783733e+03,-4.783733e+03,0.00%,109
test13183895.run183.gen-ip016.log,gen-ip016,,337268568,90262886,2.7,4,-9.489039e+03,-9.473619e+03,0.16%,7200
test13183895.run184.gen-ip021.log,gen-ip021,,1791513,0,3.5,13,2.361454e+03,2.361454e+03,0.00%,57.64
test13183895.run185.gen-ip036.log,gen-ip036,,1578952,0,3.5,12,-4.606680e+03,-4.606680e+03,0.00%,54.21
test13183895.run186.gen-ip054.log,gen-ip054,,2078561,0,3.0,14,6.840966e+03,6.840966e+03,0.00%,50.83
test13183895.run187.gen.log,gen,,1,0,23.0,8,1.123134e+05,1.123134e+05,0.00%,0.06
test13183895.run188.ger50-17-ptp-pop-6t.log,ger50-17-ptp-pop-6t,,1612860,1313190,311.6,144,7.610196e+03,9.243122e+03,17.7%,7200
test13183895.run189.ger50_17_trans.log,ger50_17_trans,,283197,245477,473.2,130,7.208723e+03,7.581033e+03,4.91%,7200
test13183895.run190.germanrr.log,germanrr,,412940,35339,341.1,237,4.696670e+07,4.710557e+07,0.29%,7200
test13183895.run191.germany50-UUM.log,germany50-UUM,,2372828,758982,183.1,16,6.193261e+05,6.326400e+05,2.10%,7200
test13183895.run192.gfd-schedulen180f7d50m30k18-16i.log,gfd-schedulen180f7d50m30k18-16i,,9339,4183,1178,9697,3.752222e+01,--,Inf,7200
test13183895.run193.gfd-schedulen180f7d50m30k18.log,gfd-schedulen180f7d50m30k18,,0,1,--,0,1.000000e+00,--,Inf,11.20
test13183895.run194.gfd-schedulen25f5d20m10k3i.log,gfd-schedulen25f5d20m10k3i,,1,0,2399,0,5.000000e+00,5.000000e+00,0.00%,1.99
test13183895.run195.gfd-schedulen55f2d50m30k3i.log,gfd-schedulen55f2d50m30k3i,,595,0,171.9,75,6.000000e+00,6.000000e+00,0.00%,27.86
test13183895.run196.ghoulomb4-9-10i.log,ghoulomb4-9-10i,,197263,0,24.0,37,4.400000e+01,4.400000e+01,0.00%,352
test13183895.run197.glass4.log,glass4,,230291,0,20.5,22,1.200013e+09,1.200013e+09,0.00%,55.67
test13183895.run198.glass-sc.log,glass-sc,,258342,0,79.0,85,2.300000e+01,2.300000e+01,0.00%,689
test13183895.run199.gmu-35-40.log,gmu-35-40,,1664906,0,4.3,10,-2.406733e+06,-2.406733e+06,0.00%,129
test13183895.run200.gmu-35-50.log,gmu-35-50,,1533134,0,5.1,26,-2.607958e+06,-2.607958e+06,0.00%,165
test13183895.run201.gmut-75-50.log,gmut-75-50,,1429275,1129609,12.5,14,-1.418186e+07,-1.415199e+07,0.21%,7200
test13183895.run202.gr4x6.log,gr4x6,,1,0,52.0,0,2.023500e+02,2.023500e+02,0.00%,0.06
test13183895.run203.graph20-20-1rand.log,graph20-20-1rand,,11615,0,170.2,142,-9.000000e+00,-9.000000e+00,0.00%,45.01
test13183895.run204.graph20-80-1rand.log,graph20-80-1rand,,159,105,40603,1770,-5.328509e+01,-6.000000e+00,88.7%,7200
test13183895.run205.graphdraw-domain.log,graphdraw-domain,,259928,0,20.0,54,1.968600e+04,1.968600e+04,0.00%,46.44
test13183895.run206.graphdraw-gemcutter.log,graphdraw-gemcutter,,114526,0,18.9,35,7.118500e+03,7.118500e+03,0.00%,21.04
test13183895.run207.gsvm2rl3.log,gsvm2rl3,,32779415,0,4.3,29,3.365275e-01,3.365275e-01,0.00%,1666
test13183895.run208.gsvm2rl5.log,gsvm2rl5,,71597913,52402501,11.6,31,3.086527e+00,5.497270e+00,43.9%,7200
test13183895.run209.gt2.log,gt2,,1,0,345.0,18,2.116600e+04,2.116600e+04,0.00%,0.04
test13183895.run210.gus-sch.log,gus-sch,,133,0,37.7,38,-1.167000e+03,-1.167000e+03,0.00%,1.09
test13183895.run211.h50x2450.log,h50x2450,,1,0,1255,0,3.290688e+04,3.290688e+04,0.00%,2.61
test13183895.run212.h80x6320d.log,h80x6320d,,3,0,2663,0,6.382099e+03,6.382099e+03,0.00%,11.56
test13183895.run214.hanoi5.log,hanoi5,,1,1,10379,1518,1.931000e+03,1.931000e+03,0.00%,1.55
test13183895.run215.haprp.log,haprp,,1,0,113.0,0,3.673281e+06,3.673281e+06,0.00%,0.08
test13183895.run216.hawaiiv10-130.log,hawaiiv10-130,,2470,1537,254.5,336,5.242291e+07,5.242944e+07,0.01%,7200
test13183895.run217.hgms-det.log,hgms-det,,6003711,593686,61.3,56,-4.765828e+04,-4.731409e+04,0.72%,7200
test13183895.run218.highschool1-aigio.log,highschool1-aigio,,7939,2544,2129,2860,4.185097e-12,1.285100e+04,100.0%,7200
test13183895.run219.hypothyroid-k1.log,hypothyroid-k1,,1,1,0.0,2416,-2.851000e+03,-2.851000e+03,0.00%,1.93
test13183895.run220.ic97_potential.log,ic97_potential,,2290121,0,19.9,108,3.942000e+03,3.942000e+03,0.00%,1296
test13183895.run221.ic97_tension.log,ic97_tension,,4380,0,24.9,10,3.942000e+03,3.942000e+03,0.00%,2.81
test13183895.run222.icir97_potential.log,icir97_potential,,4073150,298094,68.0,456,6.290719e+03,6.325000e+03,0.54%,7200
test13183895.run223.icir97_tension.log,icir97_tension,,593567,0,16.3,333,6.375000e+03,6.375000e+03,0.00%,435
test13183895.run224.iis-glass-cov.log,iis-glass-cov,,28388,0,85.4,91,2.100000e+01,2.100000e+01,0.00%,91.47
test13183895.run225.iis-hc-cov.log,iis-hc-cov,,79194,0,81.6,83,1.700000e+01,1.700000e+01,0.00%,418
test13183895.run226.in.log,in,,1,1,177856,193,5.800000e+01,6.700000e+01,13.4%,7200
test13183895.run227.irish-electricity.log,irish-electricity,,1081821,482707,17.4,22,3.722711e+06,3.723498e+06,0.02%,7200
test13183895.run228.irp.log,irp,,59,0,18.7,9,1.215949e+04,1.215949e+04,0.00%,2.33
test13183895.run229.istanbul-no-cutoff.log,istanbul-no-cutoff,,845,0,607.5,6,2.040817e+02,2.040817e+02,0.00%,28.34
test13183895.run230.ivu52.log,ivu52,,10717,1254,836.6,364,4.805133e+02,4.811137e+02,0.12%,7200
test13183895.run231.k16x240b.log,k16x240b,,10300,0,125.4,47,1.139300e+04,1.139300e+04,0.00%,46.55
test13183895.run232.k1mushroomi.log,k1mushroomi,,180,9,1973,8515,-3.861657e+03,-3.288000e+03,14.9%,1183
test13183895.run233.k1mushroom.log,k1mushroom,,1,1,0.0,4335,-3.288000e+03,-3.288000e+03,0.00%,12.34
test13183895.run234.khb05250.log,khb05250,,31,0,21.4,5,1.069402e+08,1.069402e+08,0.00%,0.22
test13183895.run235.l2p12.log,l2p12,,1,2,15836,200,5.000000e+00,5.000000e+00,0.00%,3.95
test13183895.run236.l2p1i.log,l2p1i,,13305,0,85.4,93,6.000000e+00,6.000000e+00,0.00%,338
test13183895.run237.l2p2i.log,l2p2i,,8294895,0,34.7,2,8.000000e+00,8.000000e+00,0.00%,6215
test13183895.run238.lectsched-1.log,lectsched-1,,3,0,5957,347,0.000000e+00,0.000000e+00,0.00%,3.51
test13183895.run239.lectsched-2.log,lectsched-2,,63,0,437.0,120,0.000000e+00,0.000000e+00,0.00%,1.79
test13183895.run240.lectsched-3.log,lectsched-3,,63,0,720.4,316,0.000000e+00,0.000000e+00,0.00%,3.33
test13183895.run241.lectsched-4-obj.log,lectsched-4-obj,,544,1,150.7,103,4.000000e+00,4.000000e+00,0.00%,1.55
