Log Name,File Name,c_i,c_d,c_p
test1541937.run0050.test_1200_32_instance_810.log,test_1200_32_instance_810,355.0535,344.5069,165.0
test1541937.run0051.test_1200_32_instance_886.log,test_1200_32_instance_886,356.7252,347.2268,167.0
test1541937.run0052.test_1200_32_instance_906.log,test_1200_32_instance_906,357.4913,347.4677,163.0
test1541937.run0053.test_1200_32_instance_980.log,test_1200_32_instance_980,358.783,346.907,165.0
test1541937.run0054.test_1200_4_instance_132.log,test_1200_4_instance_132,572.5,547.6744,541.0
test1541937.run0055.test_1200_4_instance_229.log,test_1200_4_instance_229,572.5,554.5196,537.0
test1541937.run0056.test_1200_4_instance_296.log,test_1200_4_instance_296,574.0,550.3543,530.0
test1541937.run0057.test_1200_4_instance_47.log,test_1200_4_instance_47,575.25,546.5811,534.0
test1541937.run0058.test_1200_4_instance_509.log,test_1200_4_instance_509,572.5,546.3073,540.0
test1541937.run0059.test_1200_4_instance_523.log,test_1200_4_instance_523,571.5,552.9515,541.0
test1541937.run0060.test_1200_4_instance_587.log,test_1200_4_instance_587,571.9412,559.4167,557.0
test1541937.run0061.test_1200_4_instance_592.log,test_1200_4_instance_592,569.5,553.0547,544.0
test1541937.run0062.test_1200_4_instance_693.log,test_1200_4_instance_693,570.5,547.6189,540.0
test1541937.run0063.test_1200_4_instance_701.log,test_1200_4_instance_701,578.4,568.5,568.0
test1541937.run0064.test_1200_4_instance_78.log,test_1200_4_instance_78,571.75,551.3702,545.0
test1541937.run0065.test_1200_4_instance_848.log,test_1200_4_instance_848,573.5,554.1103,540.0
test1541937.run0066.test_1200_4_instance_882.log,test_1200_4_instance_882,572.375,556.284,547.0
test1541937.run0067.test_1200_64_instance_129.log,test_1200_64_instance_129,295.2082,278.4326,100.0
test1541937.run0068.test_1200_64_instance_237.log,test_1200_64_instance_237,296.1859,277.5658,95.0
test1541937.run0069.test_1200_64_instance_251.log,test_1200_64_instance_251,294.4074,277.021,102.0
test1541937.run0070.test_1200_64_instance_257.log,test_1200_64_instance_257,295.7683,277.5976,103.0
test1541937.run0071.test_1200_64_instance_300.log,test_1200_64_instance_300,293.7091,276.701,97.0
test1541937.run0072.test_1200_64_instance_329.log,test_1200_64_instance_329,294.2956,276.9236,101.0
test1541937.run0073.test_1200_64_instance_368.log,test_1200_64_instance_368,293.6542,276.1742,94.0
test1541937.run0074.test_1200_64_instance_404.log,test_1200_64_instance_404,294.2799,277.3865,102.0
test1541937.run0075.test_1200_64_instance_443.log,test_1200_64_instance_443,293.6091,276.501,99.0
test1541937.run0076.test_1200_64_instance_464.log,test_1200_64_instance_464,293.6296,275.2616,95.0
test1541937.run0077.test_1200_64_instance_485.log,test_1200_64_instance_485,294.9535,278.0521,101.0
test1541937.run0078.test_1200_64_instance_567.log,test_1200_64_instance_567,294.3385,276.5587,93.0
test1541937.run0079.test_1200_64_instance_570.log,test_1200_64_instance_570,297.0414,279.5359,93.0
test1541937.run0080.test_1200_64_instance_592.log,test_1200_64_instance_592,294.3691,276.8753,100.0
test1541937.run0081.test_1200_64_instance_657.log,test_1200_64_instance_657,294.1037,276.8791,99.0
test1541937.run0082.test_1200_64_instance_671.log,test_1200_64_instance_671,293.934,276.3424,97.0
test1541937.run0084.test_1200_64_instance_70.log,test_1200_64_instance_70,294.0381,277.1682,103.0
test1541937.run0083.test_1200_64_instance_706.log,test_1200_64_instance_706,293.6302,276.4432,101.0
test1541937.run0086.test_1200_64_instance_79.log,test_1200_64_instance_79,293.4078,276.5931,98.0
test1541937.run0085.test_1200_64_instance_793.log,test_1200_64_instance_793,296.2343,278.1305,96.0
test1541937.run0087.test_1200_64_instance_803.log,test_1200_64_instance_803,293.0417,276.7226,102.0
test1541937.run0088.test_1200_64_instance_869.log,test_1200_64_instance_869,294.3061,277.3931,99.0
test1541937.run0089.test_1200_64_instance_902.log,test_1200_64_instance_902,296.0606,278.4084,98.0
test1541937.run0090.test_1200_64_instance_947.log,test_1200_64_instance_947,295.1856,277.893,103.0
test1541937.run0091.test_1200_8_instance_147.log,test_1200_8_instance_147,517.0,466.5161,394.0
test1541937.run0092.test_1200_8_instance_190.log,test_1200_8_instance_190,519.5,468.5709,398.0
test1541937.run0093.test_1200_8_instance_191.log,test_1200_8_instance_191,515.5,464.8569,400.0
test1541937.run0094.test_1200_8_instance_206.log,test_1200_8_instance_206,516.0,466.1359,405.0
test1541937.run0095.test_1200_8_instance_210.log,test_1200_8_instance_210,516.75,469.636,408.0
test1541937.run0096.test_1200_8_instance_22.log,test_1200_8_instance_22,512.75,465.2464,381.0
test1541937.run0097.test_1200_8_instance_243.log,test_1200_8_instance_243,521.5,465.0209,376.0
test1541937.run0098.test_1200_8_instance_28.log,test_1200_8_instance_28,518.0,469.0977,402.0
test1541937.run0099.test_1200_8_instance_321.log,test_1200_8_instance_321,519.0,466.0763,386.0
test1541937.run0100.test_1200_8_instance_326.log,test_1200_8_instance_326,517.0,469.4584,410.0
test1541937.run0101.test_1200_8_instance_360.log,test_1200_8_instance_360,519.0,467.6292,401.0
test1541937.run0102.test_1200_8_instance_365.log,test_1200_8_instance_365,515.0,468.1218,394.0
test1541937.run0103.test_1200_8_instance_376.log,test_1200_8_instance_376,517.5,465.4346,384.0
test1541937.run0104.test_1200_8_instance_467.log,test_1200_8_instance_467,520.75,468.9419,403.0
test1541937.run0106.test_1200_8_instance_52.log,test_1200_8_instance_52,523.0,467.2253,382.0
test1541937.run0105.test_1200_8_instance_521.log,test_1200_8_instance_521,512.5,464.8794,390.0
test1541937.run0107.test_1200_8_instance_546.log,test_1200_8_instance_546,517.5,466.6808,373.0
test1541937.run0108.test_1200_8_instance_609.log,test_1200_8_instance_609,518.75,468.4445,391.0
test1541937.run0109.test_1200_8_instance_639.log,test_1200_8_instance_639,515.0,465.0045,393.0
test1541937.run0110.test_1200_8_instance_654.log,test_1200_8_instance_654,512.25,463.6073,376.0
test1541937.run0111.test_1200_8_instance_708.log,test_1200_8_instance_708,518.0,466.2667,396.0
test1541937.run0112.test_1200_8_instance_772.log,test_1200_8_instance_772,519.0,468.9174,391.0
test1541937.run0113.test_1200_8_instance_792.log,test_1200_8_instance_792,522.5,469.3291,398.0
test1541937.run0114.test_1200_8_instance_830.log,test_1200_8_instance_830,516.0,465.4715,399.0
test1541937.run0115.test_1200_8_instance_844.log,test_1200_8_instance_844,520.0,467.1717,376.0
test1541937.run0116.test_1200_8_instance_90.log,test_1200_8_instance_90,515.0,468.7675,396.0
test1541937.run0117.test_1200_8_instance_954.log,test_1200_8_instance_954,515.5,466.9225,383.0
test1541937.run0118.test_1200_8_instance_978.log,test_1200_8_instance_978,523.0,467.2392,393.0
test1541937.run0119.test_1200_8_instance_990.log,test_1200_8_instance_990,518.5,469.809,396.0
test1541937.run0120.test_1200_8_instance_999.log,test_1200_8_instance_999,517.5,468.1913,389.0
test1541937.run0121.test_150_16_instance_195.log,test_150_16_instance_195,41.77395,35.24244,30.0
test1541937.run0122.test_150_16_instance_255.log,test_150_16_instance_255,42.01027,40.4833,31.0
test1541937.run0123.test_150_16_instance_279.log,test_150_16_instance_279,40.95475,40.01588,30.0
test1541937.run0125.test_150_16_instance_29.log,test_150_16_instance_29,41.07812,39.58535,30.0
test1541937.run0124.test_150_16_instance_296.log,test_150_16_instance_296,42.12757,40.38663,31.0
test1541937.run0126.test_150_16_instance_30.log,test_150_16_instance_30,41.90706,40.47626,30.0
test1541937.run0127.test_150_16_instance_372.log,test_150_16_instance_372,43.28668,40.48515,31.0
test1541937.run0128.test_150_16_instance_373.log,test_150_16_instance_373,40.68052,38.91939,30.0
test1541937.run0129.test_150_16_instance_404.log,test_150_16_instance_404,41.49843,40.16438,27.0
test1541937.run0130.test_150_16_instance_407.log,test_150_16_instance_407,41.46773,40.23409,23.0
test1541937.run0131.test_150_16_instance_438.log,test_150_16_instance_438,41.29232,39.83614,28.0
test1541937.run0132.test_150_16_instance_462.log,test_150_16_instance_462,41.27143,39.83051,25.0
test1541937.run0133.test_150_16_instance_479.log,test_150_16_instance_479,41.34635,40.3315,29.0
test1541937.run0134.test_150_16_instance_486.log,test_150_16_instance_486,41.5339,40.57807,30.0
test1541937.run0135.test_150_16_instance_507.log,test_150_16_instance_507,41.6137,39.55695,30.0
test1541937.run0136.test_150_16_instance_509.log,test_150_16_instance_509,42.10686,40.69423,26.0
test1541937.run0137.test_150_16_instance_522.log,test_150_16_instance_522,41.47986,39.4841,27.0
test1541937.run0138.test_150_16_instance_591.log,test_150_16_instance_591,40.843,39.55324,30.0
test1541937.run0139.test_150_16_instance_614.log,test_150_16_instance_614,41.31053,39.30756,25.0
test1541937.run0140.test_150_16_instance_621.log,test_150_16_instance_621,42.08635,40.54304,30.0
test1541937.run0141.test_150_16_instance_668.log,test_150_16_instance_668,40.0462,38.78598,27.0
test1541937.run0142.test_150_16_instance_676.log,test_150_16_instance_676,41.36898,39.90277,31.0
test1541937.run0143.test_150_16_instance_757.log,test_150_16_instance_757,41.19969,39.52787,32.0
test1541937.run0144.test_150_16_instance_770.log,test_150_16_instance_770,41.14159,39.34924,25.0
test1541937.run0145.test_150_16_instance_812.log,test_150_16_instance_812,40.61748,39.43442,28.0
test1541937.run0146.test_150_16_instance_815.log,test_150_16_instance_815,42.30328,40.13739,31.0
test1541937.run0147.test_150_16_instance_819.log,test_150_16_instance_819,41.04352,39.55312,30.0
test1541937.run0148.test_150_16_instance_828.log,test_150_16_instance_828,41.67975,40.24785,28.0
test1541937.run0149.test_150_16_instance_867.log,test_150_16_instance_867,41.53526,39.57134,29.0
test1541937.run0150.test_150_16_instance_881.log,test_150_16_instance_881,41.47432,35.44252,30.0
test1541937.run0151.test_150_16_instance_974.log,test_150_16_instance_974,40.45091,39.45926,28.0
test1541937.run0152.test_150_32_instance_102.log,test_150_32_instance_102,32.24774,32.24774,32.0
test1541937.run0153.test_150_32_instance_141.log,test_150_32_instance_141,32.85356,32.85356,32.0
test1541937.run0154.test_150_32_instance_183.log,test_150_32_instance_183,32.64725,32.64725,32.0
test1541937.run0155.test_150_32_instance_278.log,test_150_32_instance_278,32.84661,32.84661,32.0
test1541937.run0156.test_150_32_instance_315.log,test_150_32_instance_315,32.84401,32.84401,32.0
test1541937.run0157.test_150_32_instance_335.log,test_150_32_instance_335,32.28229,32.28229,32.0
test1541937.run0158.test_150_32_instance_536.log,test_150_32_instance_536,33.49987,32.0,32.0
test1541937.run0159.test_150_32_instance_546.log,test_150_32_instance_546,33.69649,32.0,32.0
test1541937.run0160.test_150_32_instance_592.log,test_150_32_instance_592,32.89586,32.89586,32.0
test1541937.run0161.test_150_32_instance_607.log,test_150_32_instance_607,33.12578,32.0,32.0
test1541937.run0162.test_150_32_instance_641.log,test_150_32_instance_641,33.51083,33.19461,32.0
test1541937.run0163.test_150_32_instance_652.log,test_150_32_instance_652,32.78737,32.78737,32.0
test1541937.run0164.test_150_32_instance_731.log,test_150_32_instance_731,32.58677,32.58677,32.0
test1541937.run0165.test_150_32_instance_745.log,test_150_32_instance_745,33.13282,32.0,32.0
test1541937.run0166.test_150_32_instance_776.log,test_150_32_instance_776,33.18933,32.0,32.0
test1541937.run0167.test_150_32_instance_850.log,test_150_32_instance_850,32.81953,32.81953,32.0
test1541937.run0168.test_150_32_instance_863.log,test_150_32_instance_863,33.42824,32.0,32.0
test1541937.run0169.test_150_32_instance_901.log,test_150_32_instance_901,33.37868,33.10183,32.0
test1541937.run0170.test_150_32_instance_913.log,test_150_32_instance_913,32.97802,32.97802,32.0
test1541937.run0171.test_150_32_instance_917.log,test_150_32_instance_917,33.00573,32.0,32.0
test1541937.run0172.test_150_32_instance_936.log,test_150_32_instance_936,33.48006,32.0,32.0
test1541937.run0173.test_150_32_instance_998.log,test_150_32_instance_998,32.85781,32.85781,32.0
test1541937.run0174.test_150_4_instance_116.log,test_150_4_instance_116,67.78261,67.0,67.0
test1541937.run0175.test_150_4_instance_139.log,test_150_4_instance_139,67.66667,67.0,67.0
test1541937.run0176.test_150_4_instance_18.log,test_150_4_instance_18,67.0,67.0,67.0
test1541937.run0177.test_150_4_instance_19.log,test_150_4_instance_19,69.0,69.0,69.0
test1541937.run0178.test_150_4_instance_209.log,test_150_4_instance_209,65.66667,64.0,64.0
test1541937.run0179.test_150_4_instance_257.log,test_150_4_instance_257,66.71429,65.0,65.0
test1541937.run0180.test_150_4_instance_319.log,test_150_4_instance_319,69.0,69.0,69.0
test1541937.run0181.test_150_4_instance_364.log,test_150_4_instance_364,66.25,65.0,64.0
test1541937.run0182.test_150_4_instance_380.log,test_150_4_instance_380,68.54545,66.58333,66.0
test1541937.run0183.test_150_4_instance_42.log,test_150_4_instance_42,66.8,64.4456,64.0
test1541937.run0184.test_150_4_instance_451.log,test_150_4_instance_451,66.25,64.0,62.0
test1541937.run0185.test_150_4_instance_473.log,test_150_4_instance_473,67.83333,67.0,67.0
test1541937.run0186.test_150_4_instance_623.log,test_150_4_instance_623,68.5,68.5,68.0
test1541937.run0187.test_150_4_instance_743.log,test_150_4_instance_743,70.0,69.0,69.0
test1541937.run0188.test_150_4_instance_759.log,test_150_4_instance_759,66.0,66.0,66.0
test1541937.run0189.test_150_4_instance_812.log,test_150_4_instance_812,66.66667,66.0,66.0
test1541937.run0190.test_150_4_instance_837.log,test_150_4_instance_837,66.0,62.33333,59.0
test1541937.run0191.test_150_4_instance_882.log,test_150_4_instance_882,67.33333,66.0,66.0
test1541937.run0192.test_150_4_instance_886.log,test_150_4_instance_886,66.66667,65.0,65.0
test1541937.run0193.test_150_64_instance_121.log,test_150_64_instance_121,64.0,64.0,64.0
test1541937.run0194.test_150_64_instance_135.log,test_150_64_instance_135,64.0,64.0,64.0
test1541937.run0195.test_150_64_instance_137.log,test_150_64_instance_137,64.0,64.0,64.0
test1541937.run0196.test_150_64_instance_146.log,test_150_64_instance_146,64.0,64.0,64.0
test1541937.run0197.test_150_64_instance_155.log,test_150_64_instance_155,64.0,64.0,64.0
test1541937.run0198.test_150_64_instance_162.log,test_150_64_instance_162,64.0,64.0,64.0
test1541937.run0199.test_150_64_instance_344.log,test_150_64_instance_344,64.0,64.0,64.0
test1541937.run0200.test_150_64_instance_355.log,test_150_64_instance_355,64.0,64.0,64.0
test1541937.run0201.test_150_64_instance_375.log,test_150_64_instance_375,64.0,64.0,64.0
test1541937.run0202.test_150_64_instance_500.log,test_150_64_instance_500,64.0,64.0,64.0
test1541937.run0203.test_150_64_instance_511.log,test_150_64_instance_511,64.0,64.0,64.0
test1541937.run0204.test_150_64_instance_555.log,test_150_64_instance_555,64.0,64.0,64.0
test1541937.run0205.test_150_64_instance_591.log,test_150_64_instance_591,64.0,64.0,64.0
test1541937.run0206.test_150_64_instance_620.log,test_150_64_instance_620,64.0,64.0,64.0
test1541937.run0208.test_150_64_instance_65.log,test_150_64_instance_65,64.0,64.0,64.0
test1541937.run0207.test_150_64_instance_658.log,test_150_64_instance_658,64.0,64.0,64.0
test1541937.run0209.test_150_64_instance_713.log,test_150_64_instance_713,64.0,64.0,64.0
test1541937.run0210.test_150_64_instance_746.log,test_150_64_instance_746,64.0,64.0,64.0
test1541937.run0211.test_150_64_instance_800.log,test_150_64_instance_800,64.0,64.0,64.0
test1541937.run0212.test_150_64_instance_817.log,test_150_64_instance_817,64.0,64.0,64.0
test1541937.run0213.test_150_64_instance_906.log,test_150_64_instance_906,64.0,64.0,64.0
test1541937.run0214.test_150_64_instance_930.log,test_150_64_instance_930,64.0,64.0,64.0
test1541937.run0215.test_150_64_instance_943.log,test_150_64_instance_943,64.0,64.0,64.0
test1541937.run0216.test_150_64_instance_978.log,test_150_64_instance_978,64.0,64.0,64.0
test1541937.run0217.test_150_8_instance_142.log,test_150_8_instance_142,53.18333,51.32237,45.0
test1541937.run0218.test_150_8_instance_183.log,test_150_8_instance_183,53.41429,51.60946,46.0
test1541937.run0219.test_150_8_instance_189.log,test_150_8_instance_189,54.89041,52.78524,50.0
test1541937.run0221.test_150_8_instance_23.log,test_150_8_instance_23,54.09792,51.23489,49.0
test1541937.run0220.test_150_8_instance_238.log,test_150_8_instance_238,55.64151,53.59071,47.0
test1541937.run0222.test_150_8_instance_29.log,test_150_8_instance_29,55.5,52.57971,46.0
test1541937.run0223.test_150_8_instance_338.log,test_150_8_instance_338,53.86207,51.58091,42.0
test1541937.run0224.test_150_8_instance_342.log,test_150_8_instance_342,55.23077,51.89716,46.0
test1541937.run0225.test_150_8_instance_465.log,test_150_8_instance_465,53.3,50.70123,43.0
test1541937.run0226.test_150_8_instance_541.log,test_150_8_instance_541,53.96599,50.0,50.0
test1541937.run0227.test_150_8_instance_600.log,test_150_8_instance_600,54.74005,51.99588,46.0
test1541937.run0228.test_150_8_instance_615.log,test_150_8_instance_615,55.57627,52.03322,48.0
test1541937.run0229.test_150_8_instance_630.log,test_150_8_instance_630,52.95936,50.68599,42.0
test1541937.run0230.test_150_8_instance_645.log,test_150_8_instance_645,53.25,50.09887,43.0
test1541937.run0231.test_150_8_instance_705.log,test_150_8_instance_705,53.84783,50.91953,46.0
test1541937.run0232.test_150_8_instance_723.log,test_150_8_instance_723,55.25,51.93491,45.0
test1541937.run0233.test_150_8_instance_733.log,test_150_8_instance_733,53.86957,50.97215,43.0
test1541937.run0234.test_150_8_instance_741.log,test_150_8_instance_741,52.52387,50.61677,44.0
test1541937.run0235.test_150_8_instance_751.log,test_150_8_instance_751,54.31707,51.78183,41.0
test1541937.run0236.test_150_8_instance_809.log,test_150_8_instance_809,54.0,50.92565,45.0
test1541937.run0237.test_150_8_instance_951.log,test_150_8_instance_951,54.33333,51.96263,44.0
test1541937.run0238.test_150_8_instance_965.log,test_150_8_instance_965,54.88636,52.49097,46.0
test1541937.run0239.test_2400_16_instance_147.log,test_2400_16_instance_147,924.6667,859.1782,532.0
test1541937.run0240.test_2400_16_instance_158.log,test_2400_16_instance_158,925.8974,858.5823,519.0
test1541937.run0241.test_2400_16_instance_212.log,test_2400_16_instance_212,923.9657,857.9769,540.0
test1541937.run0242.test_2400_16_instance_215.log,test_2400_16_instance_215,926.75,858.6147,520.0
test1541937.run0243.test_2400_16_instance_259.log,test_2400_16_instance_259,921.5,857.6307,540.0
test1541937.run0244.test_2400_16_instance_309.log,test_2400_16_instance_309,922.7903,859.6877,541.0
test1541937.run0245.test_2400_16_instance_317.log,test_2400_16_instance_317,922.0833,857.3248,539.0
test1541937.run0246.test_2400_16_instance_332.log,test_2400_16_instance_332,920.2286,857.0916,528.0
test1541937.run0247.test_2400_16_instance_350.log,test_2400_16_instance_350,923.75,857.8232,535.0
test1541937.run0248.test_2400_16_instance_352.log,test_2400_16_instance_352,925.0417,858.0521,536.0
test1541937.run0249.test_2400_16_instance_361.log,test_2400_16_instance_361,926.0278,862.6998,552.0
test1541937.run0250.test_2400_16_instance_376.log,test_2400_16_instance_376,922.6161,857.7611,541.0
test1541937.run0251.test_2400_16_instance_399.log,test_2400_16_instance_399,923.75,857.0894,523.0
test1541937.run0252.test_2400_16_instance_41.log,test_2400_16_instance_41,922.5,858.5161,531.0
test1541937.run0253.test_2400_16_instance_438.log,test_2400_16_instance_438,924.8033,857.9105,531.0
test1541937.run0254.test_2400_16_instance_571.log,test_2400_16_instance_571,920.4247,857.7626,532.0
test1541937.run0255.test_2400_16_instance_626.log,test_2400_16_instance_626,922.5,857.8918,537.0
test1541937.run0256.test_2400_16_instance_653.log,test_2400_16_instance_653,923.3333,856.7774,522.0
test1541937.run0257.test_2400_16_instance_694.log,test_2400_16_instance_694,924.5407,857.4206,533.0
test1541937.run0258.test_2400_16_instance_700.log,test_2400_16_instance_700,918.9464,857.2078,548.0
test1541937.run0259.test_2400_16_instance_735.log,test_2400_16_instance_735,923.8472,858.7262,535.0
test1541937.run0260.test_2400_16_instance_754.log,test_2400_16_instance_754,927.0,857.6776,547.0
test1541937.run0261.test_2400_16_instance_778.log,test_2400_16_instance_778,920.8,857.2193,551.0
test1541937.run0262.test_2400_16_instance_914.log,test_2400_16_instance_914,919.0312,856.5319,535.0
test1541937.run0263.test_2400_16_instance_94.log,test_2400_16_instance_94,921.25,857.132,527.0
test1541937.run0264.test_2400_16_instance_995.log,test_2400_16_instance_995,927.0,859.1143,544.0
test1541937.run0265.test_2400_2_instance_122.log,test_2400_2_instance_122,-1e+30,-1e+30,1e+30
test1541937.run0266.test_2400_2_instance_654.log,test_2400_2_instance_654,1381.0,1381.0,1381.0
test1541937.run0267.test_2400_32_instance_110.log,test_2400_32_instance_110,765.3944,750.9637,338.0
test1541937.run0268.test_2400_32_instance_116.log,test_2400_32_instance_116,765.0371,751.8924,349.0
test1541937.run0269.test_2400_32_instance_161.log,test_2400_32_instance_161,762.2566,749.2879,338.0
test1541937.run0270.test_2400_32_instance_200.log,test_2400_32_instance_200,764.5571,750.3455,332.0
test1541937.run0271.test_2400_32_instance_206.log,test_2400_32_instance_206,763.4235,750.0151,341.0
test1541937.run0272.test_2400_32_instance_249.log,test_2400_32_instance_249,765.7166,750.6318,333.0
test1541937.run0273.test_2400_32_instance_272.log,test_2400_32_instance_272,765.8453,752.2376,344.0
test1541937.run0274.test_2400_32_instance_360.log,test_2400_32_instance_360,765.2362,751.5819,335.0
test1541937.run0275.test_2400_32_instance_386.log,test_2400_32_instance_386,761.4143,749.1507,330.0
test1541937.run0276.test_2400_32_instance_426.log,test_2400_32_instance_426,762.2374,749.1371,347.0
test1541937.run0277.test_2400_32_instance_448.log,test_2400_32_instance_448,767.5981,753.2325,341.0
test1541937.run0278.test_2400_32_instance_477.log,test_2400_32_instance_477,763.3812,751.2069,332.0
test1541937.run0279.test_2400_32_instance_500.log,test_2400_32_instance_500,764.5411,750.4544,331.0
test1541937.run0280.test_2400_32_instance_585.log,test_2400_32_instance_585,764.9317,751.717,348.0
test1541937.run0281.test_2400_32_instance_589.log,test_2400_32_instance_589,768.0624,754.2007,337.0
test1541937.run0282.test_2400_32_instance_634.log,test_2400_32_instance_634,765.7604,752.3393,342.0
test1541937.run0283.test_2400_32_instance_688.log,test_2400_32_instance_688,766.8567,752.7309,342.0
test1541937.run0284.test_2400_32_instance_689.log,test_2400_32_instance_689,765.0984,752.9618,347.0
test1541937.run0285.test_2400_32_instance_703.log,test_2400_32_instance_703,765.3438,751.8788,344.0
test1541937.run0286.test_2400_32_instance_741.log,test_2400_32_instance_741,764.2144,750.4105,338.0
test1541937.run0287.test_2400_32_instance_777.log,test_2400_32_instance_777,767.4208,752.5298,334.0
test1541937.run0288.test_2400_32_instance_835.log,test_2400_32_instance_835,765.9503,753.0945,343.0
test1541937.run0290.test_2400_32_instance_84.log,test_2400_32_instance_84,766.0657,752.6216,353.0
test1541937.run0289.test_2400_32_instance_845.log,test_2400_32_instance_845,764.8018,753.0534,340.0
test1541937.run0291.test_2400_32_instance_856.log,test_2400_32_instance_856,764.9013,751.0171,333.0
test1541937.run0292.test_2400_32_instance_881.log,test_2400_32_instance_881,765.0757,752.5059,333.0
